,lotAreaValue,address,bedrooms,longitude,latitude,zpid,bathrooms,livingArea,CONDO,LOT,SINGLE_FAMILY,TOWNHOUSE,price
333,0.16,27612,3.0,-78.7207,35.856327,50115450,3.0,1785.0,0,0,1,0,486000
444,0.03,27603,2.0,-78.681725,35.749966,6518398,2.0,1256.0,0,0,0,1,285000
767,0.04,27511,2.0,-78.79759,35.77725,6490908,3.0,1224.0,0,0,0,1,300000
178,0.0399908172635445,27571,3.0,-78.46822,35.919926,133704289,2.0,1661.0,0,0,1,0,300000
788,0.1399999999999999,27616,4.0,-78.5239,35.8641,125168884,3.0,2340.0,0,0,1,0,450000
137,0.61,27526,4.0,-78.77072,35.6089,53462377,4.0,2817.0,0,0,1,0,470000
558,0.25,27587,7.0,-78.511185,35.91391,71845172,6.0,5653.0,0,0,1,0,742000
442,0.03,27615,3.0,-78.64423,35.88415,6497880,2.0,1342.0,0,0,0,1,280000
460,0.15,27526,4.0,-78.79775,35.570625,82670433,3.0,2571.0,0,0,1,0,465000
458,0.15,27603,3.0,-78.66327,35.66946,71206653,3.0,2580.0,0,0,1,0,525000
219,0.03,27615,2.0,-78.64353,35.887417,6471507,2.0,1277.0,0,0,0,1,265000
688,0.18,27545,4.0,-78.50233,35.781654,81436565,3.0,2627.0,0,0,1,0,405000
620,0.05,27606,4.0,-78.73339,35.74627,125167277,3.0,2337.0,0,0,0,1,395000
78,0.62,27608,4.0,-78.62957,35.80903,6391940,3.0,2656.0,0,0,1,0,905000
827,0.44,27545,4.0,-78.536026,35.776043,305115981,4.0,3945.0,0,0,1,0,665000
644,0.65,27612,4.0,-78.66999,35.875107,6382246,3.0,3411.0,0,0,1,0,739000
54,0.45,27526,4.0,-78.82003,35.588165,215487715,3.0,1877.0,0,0,1,0,502000
618,0.2,27540,4.0,-78.776024,35.655872,122276797,3.0,2861.0,0,0,1,0,805109
98,0.37,27587,4.0,-78.517265,35.97368,65334388,3.0,2456.0,0,0,1,0,555555
342,0.33999081726354,27609,3.0,-78.65485,35.849773,6397003,2.0,2000.0,0,0,1,0,600000
374,0.0599862258953168,27609,3.0,-78.641335,35.831203,82676999,4.0,2317.0,0,0,0,1,750000
799,0.18,27616,4.0,-78.512024,35.83769,215484338,3.0,2674.0,0,0,1,0,505000
509,0.1,27616,3.0,-78.54296,35.893787,60398433,3.0,1410.0,0,0,0,1,300300
925,0.21,27616,3.0,-78.51211,35.881443,60398605,2.0,1376.0,0,0,1,0,415000
351,0.38999081726354,27612,3.0,-78.66524,35.842014,6422604,2.5,2041.0,0,0,1,0,465000
645,0.94,27604,4.0,-78.55879,35.828213,6391515,3.0,3835.0,0,0,1,0,594450
60,0.1599862258953168,27610,3.0,-78.54324,35.702404,336867283,3.0,2108.0,0,1,0,0,436500
369,0.29,27502,3.0,-78.88958,35.724285,6555291,2.0,1608.0,0,0,1,0,455000
121,0.13,27591,2.0,-78.42296,35.75889,336869151,2.0,1888.0,0,0,1,0,473801
740,0.33,27608,3.0,-78.63664,35.812317,6429732,3.0,2201.0,0,0,1,0,736842
317,0.15,27610,3.0,-78.545,35.737556,122282617,2.5,2040.0,0,0,1,0,407000
304,0.03,27617,3.0,-78.80847,35.90572,79888929,4.0,1718.0,0,0,0,1,370000
