,propertyType,lotAreaValue,address,price,bedrooms,longitude,latitude,zpid,bathrooms,livingArea,SB_ID
7,SINGLE_FAMILY,0.192,27526,535516,5,,,2065772146,3,2886,286
8,TOWNHOUSE,0.03,27545,390951,3,,,2066579620,4,2342,287
9,SINGLE_FAMILY,0.17,27529,586470,4,,,2066870760,4,3173,288
10,SINGLE_FAMILY,,27616,470000,3,,,2067056547,3,2025,289
11,LOT,0.1,27529,10000,,,,2070801703,,,290
12,CONDO,0,27560,302500,2,,,2093275144,2,1198,291
13,SINGLE_FAMILY,0.24,27502,1050000,4,-78.904526,35.70838,248748361,5,3552,292
14,TOWNHOUSE,0.073,27539,448500,3,-78.80745,35.6704,248750765,3,1950,293
15,SINGLE_FAMILY,0.36,27526,650000,5,-78.77866,35.629856,248751046,3,2919,294
16,SINGLE_FAMILY,0.14,27591,390000,2,-78.42811,35.76265,248756500,2,1670,295
17,SINGLE_FAMILY,0.11,27523,575000,3,-78.92706,35.73302,331653999,3,1902,296
18,LOT,24.35,27587,19768132,,-78.49652,35.999115,333944228,,,305
19,LOT,0.2,27610,451000,,-78.543434,35.702396,336868604,,,306
20,SINGLE_FAMILY,0.029981635,27545,391000,3,-78.50116,35.794804,336868985,3,2342,1
21,LOT,0.279981635,27587,483000,,-78.46012,35.957962,336869539,,,2
22,LOT,37.95,27587,9203161,,-78.49854,36.002277,50097992,,,3
23,LOT,1.8,27529,268500,,-78.622696,35.716595,50098158,,,31
24,SINGLE_FAMILY,0.15,27513,495000,3,-78.777885,35.79995,50100554,3,2001,32
25,SINGLE_FAMILY,0.25,27523,625000,4,-78.88579,35.75779,50110011,3,2620,33
26,SINGLE_FAMILY,0.169995409,27615,417500,,-78.57287,35.892555,50110732,2.5,1926,34
27,SINGLE_FAMILY,0.14,27616,320000,3,-78.56781,35.855083,50111098,3,1408,35
28,SINGLE_FAMILY,0.23,27597,257200,3,-78.33596,35.831097,50112355,2,1133,36
29,SINGLE_FAMILY,0.34,27587,385000,3,-78.46717,35.95531,50116299,2,1354,37
30,SINGLE_FAMILY,0.53,27603,1315000,3,-78.661964,35.628242,50118292,3,2119,38
31,SINGLE_FAMILY,0.25,27610,500000,6,-78.62491,35.743874,50122273,3,3191,39
32,SINGLE_FAMILY,0.19,27529,376600,4,-78.58983,35.720585,53462020,3,1949,40
33,SINGLE_FAMILY,0.55,27603,401000,3,-78.66015,35.627125,60396451,2,1595,41
34,SINGLE_FAMILY,0.329981635,27616,414000,3,-78.567665,35.84082,60397245,3,1902,42
35,SINGLE_FAMILY,0.219995409,27587,417500,5,-78.493095,35.98653,60399433,3,2704,43
36,SINGLE_FAMILY,0.28,27540,652500,3,-78.804985,35.64955,60531330,3,2642,44
37,TOWNHOUSE,0.05,27523,415000,3,-78.879135,35.7523,60532490,3,1563,45
38,TOWNHOUSE,0.08,27613,612000,3,-78.7083,35.88279,60534729,3,2689,46
39,TOWNHOUSE,0.029981635,27603,310000,2,-78.6797,35.750713,60535080,2.5,1300,47
0,TOWNHOUSE,0.3,27609,350000,3,-78.62705,35.8591,6460351,3,1740,162
1,SINGLE_FAMILY,0.3,27511,577000,3,-78.769104,35.78001,6461058,2,1490,163
2,SINGLE_FAMILY,0.58,27613,552000,4,-78.720924,35.90619,6464694,3,2200,164
3,SINGLE_FAMILY,0.26,27604,387500,3,-78.578094,35.82659,6465326,2,1588,165
4,TOWNHOUSE,0.05,27511,330000,2,-78.78442,35.758038,6466218,2,1119,212
5,SINGLE_FAMILY,2.48,27614,1815000,4,-78.61464,35.930794,6474745,4,4981,213
6,SINGLE_FAMILY,0.92,27603,373900,3,-78.633965,35.649544,6476579,2,1613,214
7,SINGLE_FAMILY,0.25,27526,351000,3,-78.7865,35.605644,6484648,2,1567,231
8,SINGLE_FAMILY,0.3,27616,335000,3,-78.548775,35.88059,6485828,2,1290,232
9,SINGLE_FAMILY,0.589990817,27518,675000,,-78.75635,35.733486,6486709,3,4217,252
10,TOWNHOUSE,0.02,27511,290000,2,-78.789825,35.76295,6492797,3,1126,253
11,TOWNHOUSE,0.05,27518,625000,2,-78.76632,35.72493,6504425,3,2358,254
12,SINGLE_FAMILY,0.89,27539,800000,3,-78.80158,35.6918,6513201,4,4090,255
13,SINGLE_FAMILY,0.29,27615,450000,4,-78.57608,35.898853,6513704,3,2146,256
14,TOWNHOUSE,0.06,27604,255000,2,-78.566055,35.82954,6516537,2,1703,257
15,SINGLE_FAMILY,0.25,27560,595000,3,-78.84068,35.835575,65329268,3,2284,258
16,SINGLE_FAMILY,0.14,27560,485000,3,-78.836555,35.82764,65335132,3,1662,270
17,SINGLE_FAMILY,0.275,27587,702000,3,-78.49174,35.944275,65340728,3,2894,271
